"media","filesystem","workload","config","iopss","rd","rw","mbs","msop"
"hdd","btrfs","randomrw",1,878320.526,620285.1,258035.5,6861.88,0
"ssd","btrfs","randomrw",1,955797.6085,611866.4,343931.2,7467.16,0
"hdd","ext4","randomrw",1,925930.3104,569184.1,356746,7233.82,0
"ssd","ext4","randomrw",1,961541.781333333,555177.777777778,406364.111111111,7512.05555555556,0
"hdd","btrfs","randomrw",5,216750.2399,212469.6,4280.6,1693.37,0.38
"ssd","btrfs","randomrw",5,694489.752555556,670454.333333333,24035.3333333333,5425.67777777778,0
"hdd","ext4","randomrw",5,723470.681,710893.8,12576.9,5652.12,0
"ssd","ext4","randomrw",5,732065.0055,680804.5,51260.4,5719.27,0
"hdd","btrfs","randomrw",10,709838.5592,704407.5,5431.1,5545.61,0
"ssd","btrfs","randomrw",10,687063.3167,665528.4,21534.8,5367.7,0
"hdd","ext4","randomrw",10,712203.4784,704613,7590.3,5564.08,0
"ssd","ext4","randomrw",10,706766.514777778,668617.333333333,38149.3333333333,5521.6,0
"hdd","btrfs","copyfiles",10000,7249.6781,1208.3,1208.3,377.58,0.4
"ssd","btrfs","copyfiles",10000,19998.9517777778,3333,3333,1041.6,0.1
"hdd","ext4","copyfiles",10000,5877.0033,979.5,979.5,306.11,0.49
"ssd","ext4","copyfiles",10000,18198.1196,3033.1,3032.9,947.82,0.13
"hdd","btrfs","createfiles",10000,431.0598,0,143.5,143.59,111.29
"ssd","btrfs","createfiles",10000,1144.9626,0,382,381.83,41.4
"hdd","ext4","createfiles",10000,451.0794,0,150.3,150.26,106.27
"ssd","ext4","createfiles",10000,1096.5258,0,365.5,365.64,42.99
"hdd","btrfs","fileserver",10000,12640.2421,1148.8,2298.6,390.36,14.13
"ssd","btrfs","fileserver",10000,61505.515,5591.3,11183.3,1932.03,2.92
"hdd","ext4","fileserver",10000,253685.5275,23062.1,46125.1,7998.66,0.3
"ssd","ext4","fileserver",10000,258938.4467,23539.7,47080,8160.61,0.3
"hdd","btrfs","openfiles",10000,1192909.0215,0,0,0,0
"ssd","btrfs","openfiles",10000,1197100.3294,0,0,0,0
"hdd","ext4","openfiles",10000,1191965.004,0,0,0,0
"ssd","ext4","openfiles",10000,1197202.1934,0,0,0,0
"hdd","btrfs","webserver",10000,143190.5994,46190.1,4619.4,861.07,1.88
"ssd","btrfs","webserver",10000,424707.9569,137002.4,13700.8,2554.14,0.62
"hdd","ext4","webserver",10000,326896.2935,105450.1,10546.4,1965.83,0.85
"ssd","ext4","webserver",10000,633022.2951,204200.4,20421.3,3806.81,0.42
"hdd","btrfs","copyfiles",50000,2939.6915,490,490,153.1,1.03
"ssd","btrfs","copyfiles",50000,6565.2972,1094.3,1094.3,341.95,0.46
"hdd","ext4","copyfiles",50000,3071.147,511.8,511.8,159.95,0.98
"ssd","ext4","copyfiles",50000,7069.9126,1178.1,1178.1,368.23,0.43
"hdd","btrfs","createfiles",50000,369.9813,0,123.2,123.23,129.9
"ssd","btrfs","createfiles",50000,956.6507,0,318.7,318.8,50.18
"hdd","ext4","createfiles",50000,456.0485,0,151.9,151.94,105.16
"ssd","ext4","createfiles",50000,958.2168,0,319.3,319.31,50.16
"hdd","btrfs","fileserver",50000,2916.7365,265,530.6,79.49,50.41
"ssd","btrfs","fileserver",50000,17928.783,1629.7,3260,530.78,10.01
"hdd","ext4","fileserver",50000,3424.0199,311.1,622.4,93.8,51.49
"ssd","ext4","fileserver",50000,25229.1624,2293.4,4587.2,759.35,7.31
"hdd","btrfs","openfiles",50000,1143591.3898,0,0,0,0
"ssd","btrfs","openfiles",50000,1142971.9544,0,0,0,0
"hdd","ext4","openfiles",50000,1138819.809,0,0,0,0
"ssd","ext4","openfiles",50000,1143066.725,0,0,0,0
"hdd","btrfs","webserver",50000,150125.405,48427.5,4843,909.41,1.72
"ssd","btrfs","webserver",50000,372783.211,120252.4,12025.8,2258.39,0.72
"hdd","ext4","webserver",50000,280612.786,90519.9,9053,1699.96,0.91
"ssd","ext4","webserver",50000,652239.5329,210399.4,21041.4,3951.52,0.4
"hdd","btrfs","copyfiles",100000,978.7427,163.2,163.2,50.98,3.09
"ssd","btrfs","copyfiles",100000,4815.3901,802.6,802.6,250.81,0.6
"hdd","ext4","copyfiles",100000,935.5116,155.9,155.9,48.73,3.21
"ssd","ext4","copyfiles",100000,4967.8327,828,828,258.76,0.6
"hdd","btrfs","createfiles",100000,378.4458,0,126.1,126.05,126.97
"ssd","btrfs","createfiles",100000,948.4526,0,316,316.06,50.58
"hdd","ext4","createfiles",100000,454.4148,0,151.6,151.37,105.52
"ssd","ext4","createfiles",100000,940.4247,0,313.5,313.4,51.13
"hdd","btrfs","fileserver",100000,3828.8749,347.8,696.4,104.01,42.22
"ssd","btrfs","fileserver",100000,15460.1757,1405.2,2811.3,437,11.81
"hdd","ext4","fileserver",100000,2963.9089,269.6,539,80.39,58.36
"ssd","ext4","fileserver",100000,18050.9839,1640.8,3282.1,515.82,10.24
"hdd","btrfs","openfiles",100000,1139327.9929,0,0,0,0
"ssd","btrfs","openfiles",100000,1135622.089,0,0,0,0
"hdd","ext4","openfiles",100000,1132354.4023,0,0,0,0
"ssd","ext4","openfiles",100000,1135250.1235,0,0,0,0
"hdd","btrfs","webserver",100000,137513.836,44359.3,4435.9,832.06,1.82
"ssd","btrfs","webserver",100000,373856.1035,120598.7,12060.3,2262.25,0.71
"hdd","ext4","webserver",100000,173030.8187,55815.9,5582.5,1047.1,1.56
"ssd","ext4","webserver",100000,617796.7951,199288.9,19930.4,3738.62,0.4
